Crates ordered by Layer (0-N) with Usage Counts:
  adler2: Layer 0, Usage Count: 0
  - libredox, Usage Count: 0
  - objc2-core-foundation, Usage Count: 0
  - parking_lot_core, Usage Count: 2
  - rustfix, Usage Count: 1
  - serde-untagged, Usage Count: 0
  - terminal_size, Usage Count: 1
  - tracing-chrome, Usage Count: 1
  - zerotrie, Usage Count: 2
  - zerovec, Usage Count: 7
Layer 9 (Total modules: 17):
  - clap_builder, Usage Count: 0
  - const-random-macro, Usage Count: 1
  - ed25519-compact, Usage Count: 0
  - filetime, Usage Count: 0
  - gix-actor, Usage Count: 3
  - gix-path, Usage Count: 19
  - gix-quote, Usage Count: 4
  - hashbrown, Usage Count: 7
  - ignore, Usage Count: 3
  - jobserver, Usage Count: 0
  - objc2-foundation, Usage Count: 0
  - objc2-io-surface, Usage Count: 0
  - parking_lot, Usage Count: 0
  - potential_utf, Usage Count: 1
  - rand_core, Usage Count: 11
  - tempfile, Usage Count: 0
  - tinystr, Usage Count: 1
Layer 10 (Total modules: 28):
  - cargo-util, Usage Count: 1
  - cc, Usage Count: 0
  - clap, Usage Count: 0
  - const-random, Usage Count: 1
  - crypto-bigint, Usage Count: 1
  - dashmap, Usage Count: 0
  - ff, Usage Count: 0
  - gix-command, Usage Count: 5
  - gix-config-value, Usage Count: 4
  - gix-sec, Usage Count: 5
  - globwalk, Usage Count: 0
  - hashlink, Usage Count: 2
  - icu_collections, Usage Count: 2
  - icu_locale_core, Usage Count: 2
  - indexmap, Usage Count: 0
  - lru, Usage Count: 0
  - objc2-cloud-kit, Usage Count: 0
  - objc2-core-data, Usage Count: 0
  - objc2-core-graphics, Usage Count: 0
  - objc2-core-image, Usage Count: 0
  - objc2-core-location, Usage Count: 0
  - objc2-quartz-core, Usage Count: 0
  - objc2-user-notifications, Usage Count: 0
  - prodash, Usage Count: 2
  - rand_chacha, Usage Count: 1
  - rand_xoshiro, Usage Count: 1
  - signature, Usage Count: 1
  - tar, Usage Count: 0
Layer 11 (Total modules: 17):
  - blake3, Usage Count: 1
  - clap_complete, Usage Count: 2
  - dlv-list, Usage Count: 2
  - gix-prompt, Usage Count: 2
  - group, Usage Count: 0
  - icu_provider, Usage Count: 2
  - im-rc, Usage Count: 1
  - libdbus-sys, Usage Count: 0
  - libnghttp2-sys, Usage Count: 1
  - libsqlite3-sys, Usage Count: 1
  - libz-sys, Usage Count: 0
  - objc2-core-text, Usage Count: 0
  - openssl-sys, Usage Count: 5
  - rand, Usage Count: 6
  - tera, Usage Count: 0
  - toml_edit, Usage Count: 2
  - yaml-rust2, Usage Count: 0
Layer 12 (Total modules: 11):
  - curl-sys, Usage Count: 2
  - dbus, Usage Count: 0
  - elliptic-curve, Usage Count: 3
  - flate2, Usage Count: 0
  - icu_properties, Usage Count: 1
  - libssh2-sys, Usage Count: 1
  - objc2-ui-kit, Usage Count: 0
  - ordered-multimap, Usage Count: 2
  - quickcheck, Usage Count: 0
  - rusqlite, Usage Count: 1
  - toml, Usage Count: 4
Layer 13 (Total modules: 9):
  - curl, Usage Count: 4
  - deranged, Usage Count: 2
  - ecdsa, Usage Count: 1
  - icu_normalizer, Usage Count: 1
  - libgit2-sys, Usage Count: 2
  - opener, Usage Count: 1
  - os_info, Usage Count: 1
  - primeorder, Usage Count: 1
  - rust-ini, Usage Count: 1
Layer 14 (Total modules: 4):
  - config, Usage Count: 0
  - idna_adapter, Usage Count: 0
  - p384, Usage Count: 1
  - time, Usage Count: 3
Layer 15 (Total modules: 3):
  - cargo-credential, Usage Count: 2
  - idna, Usage Count: 1
  - pasetors, Usage Count: 0
Layer 16 (Total modules: 4):
  - cargo-credential-libsecret, Usage Count: 1
  - cargo-credential-macos-keychain, Usage Count: 0
  - cargo-credential-wincred, Usage Count: 0
  - url, Usage Count: 6
Layer 17 (Total modules: 5):
  - cargo-util-schemas, Usage Count: 1
  - cargo-vendormod, Usage Count: 0
  - crates-io, Usage Count: 1
  - git2, Usage Count: 2
  - repo_manager, Usage Count: 0
Layer 18 (Total modules: 42):
  - cargo, Usage Count: 1
  - cargo-repo-sync, Usage Count: 0
  - cargo2nix, Usage Count: 1
  - defmt, Usage Count: 0
  - faster-hex, Usage Count: 3
  - git2-curl, Usage Count: 1
  - gix, Usage Count: 1
  - gix-attributes, Usage Count: 4
  - gix-commitgraph, Usage Count: 5
  - gix-config, Usage Count: 2
  - gix-credentials, Usage Count: 3
  - gix-diff, Usage Count: 1
  - gix-dir, Usage Count: 1
  - gix-discover, Usage Count: 2
  - gix-features, Usage Count: 14
  - gix-filter, Usage Count: 1
  - gix-fs, Usage Count: 8
  - gix-glob, Usage Count: 6
  - gix-hash, Usage Count: 20
  - gix-hashtable, Usage Count: 6
  - gix-ignore, Usage Count: 3
  - gix-index, Usage Count: 3
  - gix-lock, Usage Count: 5
  - gix-negotiate, Usage Count: 2
  - gix-object, Usage Count: 14
  - gix-odb, Usage Count: 1
  - gix-pack, Usage Count: 2
  - gix-packetline, Usage Count: 1
  - gix-packetline-blocking, Usage Count: 1
  - gix-pathspec, Usage Count: 3
  - gix-protocol, Usage Count: 1
  - gix-ref, Usage Count: 4
  - gix-refspec, Usage Count: 3
  - gix-revision, Usage Count: 2
  - gix-revwalk, Usage Count: 5
  - gix-shallow, Usage Count: 2
  - gix-submodule, Usage Count: 1
  - gix-tempfile, Usage Count: 4
  - gix-transport, Usage Count: 2
  - gix-traverse, Usage Count: 2
  - gix-url, Usage Count: 4
  - gix-worktree, Usage Count: 2

Clustered by Layer (N-0) with Usage Counts:
Layer 0 (Total modules: 118):
  - adler2, Usage Count: 0
  - allocator-api2, Usage Count: 2
  - anstyle, Usage Count: 4
  - arc-swap, Usage Count: 0
  - arraydeque, Usage Count: 0
  - arrayref, Usage Count: 0
  - arrayvec, Usage Count: 0
  - autocfg, Usage Count: 0
  - base16ct, Usage Count: 2
  - base64, Usage Count: 3
  - base64ct, Usage Count: 1
  - bumpalo, Usage Count: 0
  - byteorder, Usage Count: 0
  - bytes, Usage Count: 0
  - bytesize, Usage Count: 1
  - cfg-if, Usage Count: 0
  - cfg_aliases, Usage Count: 0
  - clap_lex, Usage Count: 1
  - clru, Usage Count: 0
  - colorchoice, Usage Count: 1
  - colorify, Usage Count: 0
  - const-oid, Usage Count: 2
  - constant_time_eq, Usage Count: 1
  - core-foundation-sys, Usage Count: 0
  - crossbeam-utils, Usage Count: 4
  - crunchy, Usage Count: 0
  - ct-codecs, Usage Count: 0
  - dunce, Usage Count: 0
  - either, Usage Count: 0
  - equivalent, Usage Count: 0
  - fallible-iterator, Usage Count: 0
  - fallible-streaming-iterator, Usage Count: 0
  - fastrand, Usage Count: 0
  - fiat-crypto, Usage Count: 1
  - find-msvc-tools, Usage Count: 0
  - fnv, Usage Count: 0
  - foldhash, Usage Count: 1
  - gimli, Usage Count: 0
  - gix-trace, Usage Count: 12
  - glob, Usage Count: 0
  - heck, Usage Count: 0
  - hex, Usage Count: 0
  - humantime, Usage Count: 1
  - icu_normalizer_data, Usage Count: 1
  - icu_properties_data, Usage Count: 1
  - is_terminal_polyfill, Usage Count: 0
  - itoa, Usage Count: 0
  - jiff-tzdb, Usage Count: 0
  - lazy_static, Usage Count: 2
  - lazycell, Usage Count: 0
  - libc, Usage Count: 32
  - linux-raw-sys, Usage Count: 2
  - litemap, Usage Count: 1
  - log, Usage Count: 0
  - md5, Usage Count: 0
  - memchr, Usage Count: 0
  - minimal-lexical, Usage Count: 0
  - num-conv, Usage Count: 4
  - objc2-encode, Usage Count: 0
  - once_cell, Usage Count: 0
  - openssl-probe, Usage Count: 0
  - pathdiff, Usage Count: 0
  - percent-encoding, Usage Count: 4
  - pin-project-lite, Usage Count: 0
  - pkg-config, Usage Count: 0
  - portable-atomic, Usage Count: 0
  - powerfmt, Usage Count: 3
  - r-efi, Usage Count: 0
  - regex-syntax, Usage Count: 2
  - rustc-demangle, Usage Count: 0
  - rustc-hash, Usage Count: 0
  - rustc-stable-hash, Usage Count: 0
  - rustversion, Usage Count: 0
  - ryu, Usage Count: 0
  - scopeguard, Usage Count: 0
  - sha1_smol, Usage Count: 1
  - shell-escape, Usage Count: 0
  - shell-words, Usage Count: 0
  - shlex, Usage Count: 0
  - simd-adler32, Usage Count: 0
  - smallvec, Usage Count: 17
  - stable_deref_trait, Usage Count: 0
  - static_assertions, Usage Count: 1
  - strsim, Usage Count: 0
  - subtle, Usage Count: 0
  - supports-hyperlinks, Usage Count: 0
  - supports-unicode, Usage Count: 0
  - time-core, Usage Count: 4
  - tinyvec_macros, Usage Count: 0
  - toml_write, Usage Count: 1
  - toml_writer, Usage Count: 1
  - typeid, Usage Count: 0
  - typenum, Usage Count: 0
  - ucd-trie, Usage Count: 1
  - unicase, Usage Count: 0
  - unicode-bom, Usage Count: 3
  - unicode-ident, Usage Count: 0
  - unicode-segmentation, Usage Count: 0
  - unicode-width, Usage Count: 2
  - unicode-xid, Usage Count: 0
  - utf8_iter, Usage Count: 0
  - utf8parse, Usage Count: 2
  - valuable, Usage Count: 0
  - vcpkg, Usage Count: 0
  - version_check, Usage Count: 0
  - wasi, Usage Count: 0
  - windows-link, Usage Count: 0
  - windows_aarch64_gnullvm, Usage Count: 0
  - windows_aarch64_msvc, Usage Count: 0
  - windows_i686_gnu, Usage Count: 0
  - windows_i686_gnullvm, Usage Count: 0
  - windows_i686_msvc, Usage Count: 0
  - windows_x86_64_gnu, Usage Count: 0
  - windows_x86_64_gnullvm, Usage Count: 0
  - windows_x86_64_msvc, Usage Count: 0
  - wit-bindgen, Usage Count: 0
  - writeable, Usage Count: 2
  - zeroize, Usage Count: 7
Layer 1 (Total modules: 46):
  - addr2line, Usage Count: 0
  - aho-corasick, Usage Count: 0
  - android_system_properties, Usage Count: 0
  - annotate-snippets, Usage Count: 1
  - anstyle-parse, Usage Count: 1
  - bitmaps, Usage Count: 2
  - convert_case, Usage Count: 1
  - core-foundation, Usage Count: 0
  - cpufeatures, Usage Count: 3
  - crc32fast, Usage Count: 0
  - crossbeam-channel, Usage Count: 1
  - crossbeam-epoch, Usage Count: 1
  - encoding_rs, Usage Count: 0
  - form_urlencoded, Usage Count: 1
  - generic-array, Usage Count: 6
  - hash32, Usage Count: 2
  - http-auth, Usage Count: 0
  - itertools, Usage Count: 1
  - jiff-tzdb-platform, Usage Count: 0
  - kstring, Usage Count: 0
  - libloading, Usage Count: 1
  - lock_api, Usage Count: 1
  - memmap2, Usage Count: 0
  - miniz_oxide, Usage Count: 2
  - nom, Usage Count: 1
  - num-traits, Usage Count: 0
  - num_threads, Usage Count: 0
  - objc2, Usage Count: 0
  - object, Usage Count: 0
  - once_cell_polyfill, Usage Count: 0
  - orion, Usage Count: 0
  - pem-rfc7468, Usage Count: 2
  - pest, Usage Count: 5
  - portable-atomic-util, Usage Count: 0
  - proc-macro2, Usage Count: 0
  - security-framework-sys, Usage Count: 0
  - sharded-slab, Usage Count: 0
  - thread_local, Usage Count: 0
  - time-macros, Usage Count: 2
  - tiny-keccak, Usage Count: 0
  - tinyvec, Usage Count: 0
  - tracing-core, Usage Count: 4
  - wasip2, Usage Count: 0
  - wasm-bindgen-shared, Usage Count: 0
  - windows-targets, Usage Count: 0
  - winnow, Usage Count: 5
Layer 2 (Total modules: 15):
  - backtrace, Usage Count: 0
  - block-buffer, Usage Count: 2
  - block2, Usage Count: 0
  - crossbeam-deque, Usage Count: 1
  - crypto-common, Usage Count: 2
  - der, Usage Count: 4
  - heapless, Usage Count: 1
  - ordered-float, Usage Count: 1
  - quote, Usage Count: 0
  - regex-automata, Usage Count: 5
  - sized-chunks, Usage Count: 1
  - toml_parser, Usage Count: 1
  - tracing-log, Usage Count: 1
  - unicode-normalization, Usage Count: 0
  - windows-sys, Usage Count: 0
Layer 3 (Total modules: 18):
  - anstyle-query, Usage Count: 1
  - anstyle-wincon, Usage Count: 0
  - anyhow, Usage Count: 0
  - digest, Usage Count: 7
  - errno, Usage Count: 0
  - home, Usage Count: 2
  - is_executable, Usage Count: 0
  - matchers, Usage Count: 0
  - miow, Usage Count: 0
  - normpath, Usage Count: 0
  - nu-ansi-term, Usage Count: 0
  - proc-macro-error-attr2, Usage Count: 0
  - regex, Usage Count: 0
  - schannel, Usage Count: 0
  - socket2, Usage Count: 1
  - spki, Usage Count: 2
  - syn, Usage Count: 0
  - winapi-util, Usage Count: 0
Layer 4 (Total modules: 20):
  - anstream, Usage Count: 2
  - async-trait, Usage Count: 1
  - clap_derive, Usage Count: 1
  - color-print-proc-macro, Usage Count: 1
  - displaydoc, Usage Count: 5
  - hmac, Usage Count: 3
  - jiff-static, Usage Count: 0
  - maybe-async, Usage Count: 1
  - pkcs8, Usage Count: 2
  - proc-macro-error2, Usage Count: 0
  - same-file, Usage Count: 0
  - serde_derive, Usage Count: 4
  - sha1, Usage Count: 1
  - sha2, Usage Count: 5
  - synstructure, Usage Count: 0
  - thiserror-impl, Usage Count: 2
  - tracing-attributes, Usage Count: 1
  - wasm-bindgen-macro-support, Usage Count: 0
  - zerocopy-derive, Usage Count: 0
  - zerovec-derive, Usage Count: 1
Layer 5 (Total modules: 13):
  - color-print, Usage Count: 1
  - hkdf, Usage Count: 1
  - pest_meta, Usage Count: 1
  - rfc6979, Usage Count: 1
  - sec1, Usage Count: 1
  - serde_core, Usage Count: 13
  - thiserror, Usage Count: 2
  - tracing, Usage Count: 4
  - walkdir, Usage Count: 0
  - wasm-bindgen-macro, Usage Count: 0
  - yoke-derive, Usage Count: 1
  - zerocopy, Usage Count: 0
  - zerofrom-derive, Usage Count: 1
Layer 6 (Total modules: 12):
  - ahash, Usage Count: 1
  - bitflags, Usage Count: 0
  - defmt-parser, Usage Count: 0
  - gix-bitmap, Usage Count: 1
  - gix-chunk, Usage Count: 2
  - jiff, Usage Count: 0
  - pest_generator, Usage Count: 1
  - ppv-lite86, Usage Count: 1
  - serde, Usage Count: 21
  - tracing-subscriber, Usage Count: 2
  - wasm-bindgen, Usage Count: 0
  - zerofrom, Usage Count: 5
Layer 7 (Total modules: 19):
  - bstr, Usage Count: 0
  - cargo-platform, Usage Count: 2
  - defmt-macros, Usage Count: 0
  - dispatch2, Usage Count: 0
  - erased-serde, Usage Count: 0
  - js-sys, Usage Count: 0
  - nix, Usage Count: 1
  - pest_derive, Usage Count: 2
  - redox_syscall, Usage Count: 0
  - ron, Usage Count: 1
  - rustix, Usage Count: 2
  - security-framework, Usage Count: 0
  - semver, Usage Count: 0
  - serde-value, Usage Count: 0
  - serde_ignored, Usage Count: 1
  - serde_json, Usage Count: 8
  - serde_spanned, Usage Count: 3
  - toml_datetime, Usage Count: 3
  - yoke, Usage Count: 4
Layer 8 (Total modules: 15):
  - getrandom, Usage Count: 3
  - gix-date, Usage Count: 9
  - gix-utils, Usage Count: 12
  - gix-validate, Usage Count: 7
  - globset, Usage Count: 1
  - json5, Usage Count: 0
  - libredox, Usage Count: 0
  - objc2-core-foundation, Usage Count: 0
  - parking_lot_core, Usage Count: 2
  - rustfix, Usage Count: 1
  - serde-untagged, Usage Count: 0
  - terminal_size, Usage Count: 1
  - tracing-chrome, Usage Count: 1
  - zerotrie, Usage Count: 2
  - zerovec, Usage Count: 7
Layer 9 (Total modules: 17):
  - clap_builder, Usage Count: 0
  - const-random-macro, Usage Count: 1
  - ed25519-compact, Usage Count: 0
  - filetime, Usage Count: 0
  - gix-actor, Usage Count: 3
  - gix-path, Usage Count: 19
  - gix-quote, Usage Count: 4
  - hashbrown, Usage Count: 7
  - ignore, Usage Count: 3
  - jobserver, Usage Count: 0
  - objc2-foundation, Usage Count: 0
  - objc2-io-surface, Usage Count: 0
  - parking_lot, Usage Count: 0
  - potential_utf, Usage Count: 1
  - rand_core, Usage Count: 11
  - tempfile, Usage Count: 0
  - tinystr, Usage Count: 1
Layer 10 (Total modules: 28):
  - cargo-util, Usage Count: 1
  - cc, Usage Count: 0
  - clap, Usage Count: 0
  - const-random, Usage Count: 1
  - crypto-bigint, Usage Count: 1
  - dashmap, Usage Count: 0
  - ff, Usage Count: 0
  - gix-command, Usage Count: 5
  - gix-config-value, Usage Count: 4
  - gix-sec, Usage Count: 5
  - globwalk, Usage Count: 0
  - hashlink, Usage Count: 2
  - icu_collections, Usage Count: 2
  - icu_locale_core, Usage Count: 2
  - indexmap, Usage Count: 0
  - lru, Usage Count: 0
  - objc2-cloud-kit, Usage Count: 0
  - objc2-core-data, Usage Count: 0
  - objc2-core-graphics, Usage Count: 0
  - objc2-core-image, Usage Count: 0
  - objc2-core-location, Usage Count: 0
  - objc2-quartz-core, Usage Count: 0
  - objc2-user-notifications, Usage Count: 0
  - prodash, Usage Count: 2
  - rand_chacha, Usage Count: 1
  - rand_xoshiro, Usage Count: 1
  - signature, Usage Count: 1
  - tar, Usage Count: 0
Layer 11 (Total modules: 17):
  - blake3, Usage Count: 1
  - clap_complete, Usage Count: 2
  - dlv-list, Usage Count: 2
  - gix-prompt, Usage Count: 2
  - group, Usage Count: 0
  - icu_provider, Usage Count: 2
  - im-rc, Usage Count: 1
  - libdbus-sys, Usage Count: 0
  - libnghttp2-sys, Usage Count: 1
  - libsqlite3-sys, Usage Count: 1
  - libz-sys, Usage Count: 0
  - objc2-core-text, Usage Count: 0
  - openssl-sys, Usage Count: 5
  - rand, Usage Count: 6
  - tera, Usage Count: 0
  - toml_edit, Usage Count: 2
  - yaml-rust2, Usage Count: 0
Layer 12 (Total modules: 11):
  - curl-sys, Usage Count: 2
  - dbus, Usage Count: 0
  - elliptic-curve, Usage Count: 3
  - flate2, Usage Count: 0
  - icu_properties, Usage Count: 1
  - libssh2-sys, Usage Count: 1
  - objc2-ui-kit, Usage Count: 0
  - ordered-multimap, Usage Count: 2
  - quickcheck, Usage Count: 0
  - rusqlite, Usage Count: 1
  - toml, Usage Count: 4
Layer 13 (Total modules: 9):
  - curl, Usage Count: 4
  - deranged, Usage Count: 2
  - ecdsa, Usage Count: 1
  - icu_normalizer, Usage Count: 1
  - libgit2-sys, Usage Count: 2
  - opener, Usage Count: 1
  - os_info, Usage Count: 1
  - primeorder, Usage Count: 1
  - rust-ini, Usage Count: 1
Layer 14 (Total modules: 4):
  - config, Usage Count: 0
  - idna_adapter, Usage Count: 0
  - p384, Usage Count: 1
  - time, Usage Count: 3
Layer 15 (Total modules: 3):
  - cargo-credential, Usage Count: 2
  - idna, Usage Count: 1
  - pasetors, Usage Count: 0
Layer 16 (Total modules: 4):
  - cargo-credential-libsecret, Usage Count: 1
  - cargo-credential-macos-keychain, Usage Count: 0
  - cargo-credential-wincred, Usage Count: 0
  - url, Usage Count: 6
Layer 17 (Total modules: 5):
  - cargo-util-schemas, Usage Count: 1
  - cargo-vendormod, Usage Count: 0
  - crates-io, Usage Count: 1
  - git2, Usage Count: 2
  - repo_manager, Usage Count: 0
Layer 18 (Total modules: 42):
  - cargo, Usage Count: 1
  - cargo-repo-sync, Usage Count: 0
  - cargo2nix, Usage Count: 1
  - defmt, Usage Count: 0
  - faster-hex, Usage Count: 3
  - git2-curl, Usage Count: 1
  - gix, Usage Count: 1
  - gix-attributes, Usage Count: 4
  - gix-commitgraph, Usage Count: 5
  - gix-config, Usage Count: 2
  - gix-credentials, Usage Count: 3
  - gix-diff, Usage Count: 1
  - gix-dir, Usage Count: 1
  - gix-discover, Usage Count: 2
  - gix-features, Usage Count: 14
  - gix-filter, Usage Count: 1
  - gix-fs, Usage Count: 8
  - gix-glob, Usage Count: 6
  - gix-hash, Usage Count: 20
  - gix-hashtable, Usage Count: 6
  - gix-ignore, Usage Count: 3
  - gix-index, Usage Count: 3
  - gix-lock, Usage Count: 5
  - gix-negotiate, Usage Count: 2
  - gix-object, Usage Count: 14
  - gix-odb, Usage Count: 1
  - gix-pack, Usage Count: 2
  - gix-packetline, Usage Count: 1
  - gix-packetline-blocking, Usage Count: 1
  - gix-pathspec, Usage Count: 3
  - gix-protocol, Usage Count: 1
  - gix-ref, Usage Count: 4
  - gix-refspec, Usage Count: 3
  - gix-revision, Usage Count: 2
  - gix-revwalk, Usage Count: 5
  - gix-shallow, Usage Count: 2
  - gix-submodule, Usage Count: 1
  - gix-tempfile, Usage Count: 4
  - gix-transport, Usage Count: 2
  - gix-traverse, Usage Count: 2
  - gix-url, Usage Count: 4
  - gix-worktree, Usage Count: 2
